peak_Q,lag_WSS_Q,lag_WSS_WL,Category
30498.13,10.5,22.75,High
30449.69,12.5,16.5,High
12715.54,-11.5,-24.0,Medium
12482.36,1.0,4.25,Medium
14581.12,9.75,15.25,Medium
11889.0,-12.0,-24.5,Medium
12197.98,0.5,12.75,Medium
9732.41,12.5,24.75,Low
17598.06,5.75,8.75,Medium
22114.97,6.75,12.5,High
11461.53,-12.0,-24.5,Medium
10986.94,-2.75,-15.25,Medium
9899.438,-12.0,-24.5,Low
10415.88,4.0,11.0,Medium
9741.591,0.75,1.0,Low
9704.711,2.0,-10.5,Low
9704.166,2.5,5.75,Low
10004.05,5.75,9.5,Medium
9116.206,2.0,5.0,Low
8920.773,4.0,7.25,Low
9304.427,1.75,6.0,Low
8179.339,3.0,5.0,Low
7674.366,6.25,18.5,Low
7629.423,12.5,13.5,Low
6891.364,-12.0,-24.5,Low
7353.444,4.0,6.25,Low
6973.655,2.75,3.25,Low
6501.257,-12.25,-24.75,Low
6947.315,5.25,7.5,Low
6917.415,8.0,14.75,Low
6885.29,4.75,8.25,Low
6162.357,5.5,17.75,Low
6428.123,4.25,8.25,Low
6133.109,-0.75,-13.25,Low
6185.925,2.25,5.0,Low
7015.631,7.5,19.75,Low
7345.75,6.25,10.75,Low
8989.413,7.25,12.75,Low
8917.846,3.25,8.75,Low
8621.349,1.5,0.5,Low
4861.156,-8.25,-20.75,Mild
4300.191,-2.5,-15.0,Mild
4530.822,3.25,7.5,Mild
4583.021,8.25,15.0,Mild
4721.778,4.5,9.25,Mild
4665.5,5.5,17.75,Mild
4500.025,2.5,-10.0,Mild
4656.903,3.25,6.25,Mild
4344.342,7.75,13.0,Mild
4147.73,8.0,11.5,Mild
4346.118,2.25,6.75,Mild
5184.576,4.75,10.0,Low
4591.171,12.5,0.0,Mild
10873.22,12.5,24.75,Medium
11509.78,4.75,9.0,Medium
6981.787,-11.5,-24.0,Low
7178.756,2.0,4.0,Low
7047.377,1.75,1.75,Low
7054.641,5.0,8.5,Low
5740.992,1.5,-11.0,Low
5261.365,-1.5,-14.0,Low
5899.296,2.75,7.0,Low
7123.704,8.25,18.75,Low
6873.153,2.5,5.25,Low
8062.254,6.25,12.25,Low
6579.482,2.0,-10.5,Low
6553.406,5.0,13.75,Low
6617.364,1.25,1.5,Low
6566.333,1.75,4.0,Low
6626.955,4.25,16.5,Low
8172.121,5.25,17.5,Low
9111.436,8.5,15.75,Low
7825.451,1.5,0.5,Low
6351.767,-1.0,-13.5,Low
6692.61,10.5,16.75,Low
6507.543,3.25,5.5,Low
6489.25,2.0,5.0,Low
6517.698,-11.75,0.5,Low
6755.285,1.75,5.5,Low
13572.7,11.75,24.0,Medium
13572.42,12.5,18.25,Medium
9350.287,-6.0,-18.5,Low
9268.82,2.0,-10.5,Low
8630.065,-3.25,-15.75,Low
8223.94,2.75,-9.75,Low
8117.94,12.5,14.75,Low
5283.805,0.5,1.75,Low
5052.397,12.5,0.0,Low
6188.522,6.25,14.5,Low
6544.553,4.25,16.5,Low
8367.285,12.5,20.0,Low
7250.554,-0.75,-13.25,Low
7424.174,1.25,2.75,Low
7844.538,9.5,13.0,Low
6132.872,2.25,-10.25,Low
6961.617,7.0,19.25,Low
8628.15,9.25,17.25,Low
8389.772,-0.75,-13.25,Low
6185.791,1.75,-10.75,Low
5434.455,0.5,-12.0,Low
6001.609,3.0,5.75,Low
5733.627,1.25,-11.25,Low
6202.148,5.75,11.5,Low
5721.096,-2.25,-14.75,Low
5930.817,6.5,14.5,Low
5478.526,3.25,4.0,Low
4907.819,6.0,18.25,Mild
4268.603,1.5,10.5,Mild
3292.862,12.5,11.0,Mild
2614.583,12.5,6.0,Mild
3366.277,3.25,15.5,Mild
3272.251,-9.25,-14.5,Mild
3282.608,-10.75,-23.25,Mild
3268.107,-8.5,-21.0,Mild
3353.404,-0.75,-13.25,Mild
3367.919,11.75,24.0,Mild
3553.624,-12.25,0.0,Mild
9753.549,1.25,13.5,Low
39882.92,12.5,17.25,High
17032.96,-0.25,-12.75,Medium
16923.05,0.5,-12.0,Medium
10877.11,0.5,-12.0,Medium
8913.413,-9.5,-22.0,Low
9219.528,-12.0,-24.5,Low
10066.43,3.5,15.75,Medium
20915.37,6.25,11.5,High
11749.41,12.5,0.0,Medium
11048.33,-12.0,-24.5,Medium
12489.63,4.75,17.0,Medium
17748.97,6.25,16.75,Medium
16646.7,12.5,0.0,Medium
15269.79,12.5,0.0,Medium
10103.75,0.5,-12.0,Medium
9689.738,-0.5,-13.0,Low
8824.519,-12.25,-24.75,Low
9611.813,-12.25,-24.75,Low
9698.481,2.0,-10.5,Low
9669.089,12.25,24.5,Low
7450.072,12.5,24.75,Low
10018.36,4.75,8.5,Medium
9137.497,12.5,0.0,Low
8674.332,0.75,-11.75,Low
8294.391,-4.25,-16.75,Low
8063.926,-12.0,-24.5,Low
8516.388,-6.75,-19.25,Low
7564.942,-5.25,-17.75,Low
7025.827,-0.25,-12.75,Low
6401.27,-1.25,-9.25,Low
5947.935,0.25,-12.25,Low
5473.234,1.25,3.75,Low
5367.335,-5.75,-15.25,Low
4636.376,2.5,14.75,Mild
3982.404,-12.25,0.0,Mild
14755.66,11.0,22.75,Medium
12669.36,12.5,15.5,Medium
11081.64,-12.0,-24.5,Medium
10091.23,-0.25,-12.75,Medium
9157.785,12.5,24.75,Low
38514.42,12.5,18.5,High
13664.07,12.5,14.0,Medium
12023.02,12.5,0.0,Medium
11422.03,12.5,0.0,Medium
10905.51,0.0,-12.5,Medium
11103.48,1.0,-6.0,Medium
10218.33,-10.75,-23.25,Medium
10404.82,0.0,-12.5,Medium
10357.14,-11.5,-24.0,Medium
10859.9,2.25,-1.5,Medium
10310.69,12.0,-0.5,Medium
9495.167,-12.25,-24.75,Low
11948.83,-12.25,-18.5,Medium
13952.37,2.75,0.0,Medium
13507.66,-12.0,-24.5,Medium
13479.23,-0.5,-13.0,Medium
12678.02,-11.25,-23.75,Medium
10390.84,-5.5,-18.0,Medium
9837.98,12.5,0.0,Low
13281.37,12.25,17.25,Medium
12154.17,3.0,-9.5,Medium
11894.77,1.5,-11.0,Medium
11939.99,0.0,-12.5,Medium
10417.63,-1.25,-13.75,Medium
9871.691,-11.5,-24.0,Low
8961.023,5.25,17.5,Low
9759.233,5.75,11.75,Low
10864.22,7.75,11.5,Medium
65459.57,12.5,24.75,Extreme
67916.66,9.25,15.0,Extreme
18497.62,12.5,0.0,Medium
18257.32,0.25,-3.25,Medium
19421.82,3.75,5.0,Medium
14355.55,-12.0,-24.5,Medium
17496.84,1.25,4.75,Medium
17067.3,0.0,-1.25,Medium
15181.81,12.5,0.0,Medium
11838.56,12.5,0.0,Medium
11447.23,-12.25,-24.75,Medium
